name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,declined,smart_vote,joined_united_rus,state_employee,party,affiliation
Жагина Ольга Михайловна,1,3332,171550,36280,541,4883,24.310113669484117,1.2972376750431611,11.708708996738922,False,0,0,-1,-1,3,0
Милованов Вячеслав Анатольевич,1,3156,171550,36280,541,4883,24.310113669484117,1.2972376750431611,11.708708996738922,False,0,0,-1,-1,5,2
Никитушкина Светлана Аркадьевна,1,3403,171550,36280,541,4883,24.310113669484117,1.2972376750431611,11.708708996738922,False,0,0,-1,-1,8,2
Титов Андрей Михайлович,1,16136,171550,36280,541,4883,24.310113669484117,1.2972376750431611,11.708708996738922,True,0,0,1,1,0,1
Ульянченко Иван Викторович,1,14165,171550,36280,541,4883,24.310113669484117,1.2972376750431611,11.708708996738922,False,0,1,-1,-1,4,2
Воловец Светлана Альбертовна,2,14079,181535,34302,595,3098,20.929848238631667,1.5659955257270697,8.153704434794053,False,2,0,-1,1,0,1
Жуков Владислав Владимирович,2,2809,181535,34302,595,3098,20.929848238631667,1.5659955257270697,8.153704434794053,False,2,0,-1,-1,8,2
Локтев Дмитрий Александрович,2,15091,181535,34302,595,3098,20.929848238631667,1.5659955257270697,8.153704434794053,True,2,1,0,-1,4,2
Петров Андрей Юрьевич,2,3456,181535,34302,595,3098,20.929848238631667,1.5659955257270697,8.153704434794053,False,2,0,-1,-1,5,2
Рассудов Павел Юрьевич,2,1046,181535,34302,595,3098,20.929848238631667,1.5659955257270697,8.153704434794053,False,2,0,-1,0,0,0
Воскресенский Леонид Игоревич,3,8010,186258,35426,748,2790,20.91936990625906,1.9197207678883077,7.160455805358793,False,4,0,-1,-1,3,0
Соловьев Александр Сергеевич,3,13578,186258,35426,748,2790,20.91936990625906,1.9197207678883077,7.160455805358793,True,4,1,0,-1,8,2
Цветкова Сабина Алановна,3,12795,186258,35426,748,2790,20.91936990625906,1.9197207678883077,7.160455805358793,False,4,0,-1,1,0,1
Шевченко Юрий Владимирович,3,2792,186258,35426,748,2790,20.91936990625906,1.9197207678883077,7.160455805358793,False,4,0,-1,-1,5,2
Бессонов Владимир Анатольевич,4,2348,172145,33470,705,1884,20.94687617996457,1.9551290939848585,5.224770514989323,False,1,0,-1,-1,5,2
Десяткин Сергей Евгеньевич,4,12598,172145,33470,705,1884,20.94687617996457,1.9551290939848585,5.224770514989323,False,1,1,-1,-1,4,2
Киселева Мария Александровна,4,14835,172145,33470,705,1884,20.94687617996457,1.9551290939848585,5.224770514989323,True,1,0,-1,-1,0,1
Лобах Эрик Наэльевич,4,1344,172145,33470,705,1884,20.94687617996457,1.9551290939848585,5.224770514989323,False,1,0,-1,-1,8,2
Митина Дарья Александровна,4,3589,172145,33470,705,1884,20.94687617996457,1.9551290939848585,5.224770514989323,False,1,0,1,1,3,0
Бабаян Роман Георгиевич,5,18524,177579,36132,626,2595,22.16084109044425,1.590730058699464,6.594160546845221,True,3,0,1,1,0,1
Доможирова Ксения Валерьевна,5,2196,177579,36132,626,2595,22.16084109044425,1.590730058699464,6.594160546845221,False,3,1,-1,-1,8,2
Литвинов Алексей Сергеевич,5,1685,177579,36132,626,2595,22.16084109044425,1.590730058699464,6.594160546845221,False,3,0,-1,-1,5,2
Удальцова Анастасия Олеговна,5,15598,177579,36132,626,2595,22.16084109044425,1.590730058699464,6.594160546845221,False,3,0,-1,-1,4,2
Балыхин Михаил Григорьевич,6,11449,183248,36350,623,4352,22.551405745219597,1.5075620084694494,10.531155474894131,False,1,0,-1,1,0,1
Бунимович Евгений Абрамович,6,16732,183248,36350,623,4352,22.551405745219597,1.5075620084694494,10.531155474894131,True,1,1,0,-1,9,2
Крутских Наталья Васильевна,6,2496,183248,36350,623,4352,22.551405745219597,1.5075620084694494,10.531155474894131,False,1,0,-1,-1,3,0
Мельников Алексей Владимирович,6,6921,183248,36350,623,4352,22.551405745219597,1.5075620084694494,10.531155474894131,False,1,0,-1,-1,4,2
Почернин Алексей Юрьевич,6,2341,183248,36350,623,4352,22.551405745219597,1.5075620084694494,10.531155474894131,False,1,0,-1,-1,5,2
Вербенкин Антон Юрьевич,7,3371,170161,31931,787,3534,21.3045292399551,2.170914708154033,9.748427672955977,False,0,0,-1,-1,5,2
Жуков Константин Аркадьевич,7,2686,170161,31931,787,3534,21.3045292399551,2.170914708154033,9.748427672955977,False,0,0,-1,-1,3,0
Звягинцев Петр Семенович,7,12772,170161,31931,787,3534,21.3045292399551,2.170914708154033,9.748427672955977,False,0,1,-1,-1,4,2
Кушаков Павел Николаевич,7,3132,170161,31931,787,3534,21.3045292399551,2.170914708154033,9.748427672955977,False,0,0,-1,-1,8,2
Перфилова Надежда Рафаиловна,7,12909,170161,31931,787,3534,21.3045292399551,2.170914708154033,9.748427672955977,True,0,0,1,1,0,1
Беседина Дарья Станиславовна,8,14911,175737,36609,734,3479,23.229029743309606,1.7980500710401257,8.522365391210622,True,2,1,0,0,0,2
Власов Василий Максимович,8,2153,175737,36609,734,3479,23.229029743309606,1.7980500710401257,8.522365391210622,False,2,0,-1,-1,5,2
Копейкина Екатерина Николаевна,8,2765,175737,36609,734,3479,23.229029743309606,1.7980500710401257,8.522365391210622,False,2,0,-1,1,0,0
Кумин Вадим Валентинович,8,12805,175737,36609,734,3479,23.229029743309606,1.7980500710401257,8.522365391210622,False,2,0,-1,-1,4,2
Луговская Елена Константиновна,8,1253,175737,36609,734,3479,23.229029743309606,1.7980500710401257,8.522365391210622,False,2,0,-1,-1,6,0
Панина Ольга Григорьевна,8,5774,175737,36609,734,3479,23.229029743309606,1.7980500710401257,8.522365391210622,False,2,0,-1,-1,8,2
Бакашева Екатерина Сергеевна,9,2451,178560,35081,705,3235,21.853158602150536,1.8067194587529791,8.290407729171472,False,3,0,-1,-1,3,0
Галенкина Майя Александровна,9,2399,178560,35081,705,3235,21.853158602150536,1.8067194587529791,8.290407729171472,False,3,0,-1,-1,5,2
Голуенко Алиса Владимировна,9,1928,178560,35081,705,3235,21.853158602150536,1.8067194587529791,8.290407729171472,False,3,0,-1,-1,8,2
Медведев Андрей Андреевич,9,15580,178560,35081,705,3235,21.853158602150536,1.8067194587529791,8.290407729171472,True,3,0,-1,1,0,1
Степанов Николай Валерьевич,9,15067,178560,35081,705,3235,21.853158602150536,1.8067194587529791,8.290407729171472,False,3,1,-1,-1,4,2
Дашкевич Игорь Николаевич,10,2600,177285,34478,382,3364,21.56076374199735,0.9993721222268732,8.800753453327752,False,0,0,-1,-1,3,0
Дашков Юрий Владимирович,10,10786,177285,34478,382,3364,21.56076374199735,0.9993721222268732,8.800753453327752,False,0,1,-1,-1,4,2
Картавцева Лариса Руслановна,10,15497,177285,34478,382,3364,21.56076374199735,0.9993721222268732,8.800753453327752,True,0,0,1,1,0,1
Крюков Алексей Сергеевич,10,3761,177285,34478,382,3364,21.56076374199735,0.9993721222268732,8.800753453327752,False,0,0,-1,-1,5,2
Суворов Андрей Александрович,10,3894,177285,34478,382,3364,21.56076374199735,0.9993721222268732,8.800753453327752,False,0,0,-1,-1,8,2
Зубрилин Николай Григорьевич,11,15775,176802,33202,636,2828,20.73845318491872,1.7345769923089511,7.71286750668194,True,2,1,0,-1,4,2
Лучин Александр Николаевич,11,2715,176802,33202,636,2828,20.73845318491872,1.7345769923089511,7.71286750668194,False,2,0,-1,-1,8,2
Нифантьев Евгений Олегович,11,12167,176802,33202,636,2828,20.73845318491872,1.7345769923089511,7.71286750668194,False,2,0,-1,0,0,1
Рыбин Евгений Евгеньевич,11,4593,176802,33202,636,2828,20.73845318491872,1.7345769923089511,7.71286750668194,False,2,0,-1,-1,5,2
Ефимов Александр Борисович,12,13087,154596,31415,622,2857,22.571088514579937,1.7825414111308535,8.187654037943487,False,0,1,-1,-1,4,2
Ефимов Максим Владимирович,12,2613,154596,31415,622,2857,22.571088514579937,1.7825414111308535,8.187654037943487,False,0,0,-1,-1,5,0
Трофимов Павел Владимирович,12,1463,154596,31415,622,2857,22.571088514579937,1.7825414111308535,8.187654037943487,False,0,0,-1,-1,3,0
Шапошников Алексей Валерьевич,12,14227,154596,31415,622,2857,22.571088514579937,1.7825414111308535,8.187654037943487,True,0,0,1,1,0,1
Янковой Никита Леонидович,12,2358,154596,31415,622,2857,22.571088514579937,1.7825414111308535,8.187654037943487,False,0,0,-1,-1,8,2
Бускин Игорь Владимирович,13,11240,162812,31930,449,2947,21.69741788074589,1.2710185132763403,8.342297457962973,True,1,0,1,1,0,1
Зоммер Денис Валерьевич,13,1573,162812,31930,449,2947,21.69741788074589,1.2710185132763403,8.342297457962973,False,1,0,-1,-1,3,0
Кравченко Татьяна Алексеевна,13,3263,162812,31930,449,2947,21.69741788074589,1.2710185132763403,8.342297457962973,False,1,0,-1,-1,5,2
Лифанцев Илья Борисович,13,9028,162812,31930,449,2947,21.69741788074589,1.2710185132763403,8.342297457962973,False,1,0,-1,-1,8,2
Потапов Александр Владимирович,13,8924,162812,31930,449,2947,21.69741788074589,1.2710185132763403,8.342297457962973,False,1,1,-1,-1,4,2
Клочков Дмитрий Владимирович,14,2036,170133,35677,544,3108,23.11662052629413,1.3832032342546212,7.902565536881182,False,3,0,-1,0,0,0
Круглов Максим Сергеевич,14,15430,170133,35677,544,3108,23.11662052629413,1.3832032342546212,7.902565536881182,True,3,1,0,-1,9,2
Починок Наталья Борисовна,14,8939,170133,35677,544,3108,23.11662052629413,1.3832032342546212,7.902565536881182,False,3,0,-1,1,0,1
Степкин Евгений Валериевич,14,2328,170133,35677,544,3108,23.11662052629413,1.3832032342546212,7.902565536881182,False,3,0,-1,-1,5,2
Федоров Георгий Владимирович,14,5134,170133,35677,544,3108,23.11662052629413,1.3832032342546212,7.902565536881182,False,3,0,-1,-1,8,2
Школьников Александр Наумович,14,3373,170133,35677,544,3108,23.11662052629413,1.3832032342546212,7.902565536881182,False,3,0,-1,0,0,0
Востоков Юрий Александрович,15,2091,141005,28223,383,2151,21.81270167724549,1.2452449848814904,6.993529928146439,False,0,0,-1,0,0,0
Кустов Алексей Евгеньевич,15,2811,141005,28223,383,2151,21.81270167724549,1.2452449848814904,6.993529928146439,False,0,0,-1,-1,5,2
Метельский Андрей Николаевич,15,9790,141005,28223,383,2151,21.81270167724549,1.2452449848814904,6.993529928146439,False,0,0,-1,1,0,1
Остриков Иван Владимирович,15,1797,141005,28223,383,2151,21.81270167724549,1.2452449848814904,6.993529928146439,False,0,0,-1,-1,3,0
Савостьянов Сергей Владимирович,15,12955,141005,28223,383,2151,21.81270167724549,1.2452449848814904,6.993529928146439,True,0,1,0,-1,4,2
Андреева Александра Александровна,16,1290,146716,31391,404,2022,23.049292510700948,1.1946654049738297,5.979241210042287,False,0,0,-1,0,0,0
Андреева Александра Сергеевна,16,5855,146716,31391,404,2022,23.049292510700948,1.1946654049738297,5.979241210042287,False,0,0,-1,-1,4,2
Гордиенко Татьяна Владимировна,16,1466,146716,31391,404,2022,23.049292510700948,1.1946654049738297,5.979241210042287,False,0,0,-1,-1,3,0
Косова Вера Александровна,16,1395,146716,31391,404,2022,23.049292510700948,1.1946654049738297,5.979241210042287,False,0,0,-1,-1,5,2
Молев Антон Ильич,16,10419,146716,31391,404,2022,23.049292510700948,1.1946654049738297,5.979241210042287,False,0,0,-1,1,0,1
Тимонов Михаил Леонидович,16,12293,146716,31391,404,2022,23.049292510700948,1.1946654049738297,5.979241210042287,True,0,1,0,-1,8,2
Максимов Виктор Валерьевич,17,13505,146150,27344,359,1825,20.20390010263428,1.2157951774586833,6.180574370089406,True,0,1,0,-1,4,2
Медведков Андрей Александрович,17,3580,146150,27344,359,1825,20.20390010263428,1.2157951774586833,6.180574370089406,False,0,0,-1,-1,8,2
Татулова Анастасия Анатольевна,17,8318,146150,27344,359,1825,20.20390010263428,1.2157951774586833,6.180574370089406,False,0,0,-1,0,0,1
Хованец Илья Николаевич,17,2645,146150,27344,359,1825,20.20390010263428,1.2157951774586833,6.180574370089406,False,0,0,-1,-1,5,2
Марусенко Марья Михайловна,18,4516,142432,32958,383,2885,25.43389126039092,1.0572516976757025,7.9638933362778115,False,0,0,-1,0,0,2
Медведев Антон Владимирович,18,4629,142432,32958,383,2885,25.43389126039092,1.0572516976757025,7.9638933362778115,False,0,0,-1,-1,5,2
Табашников Николай Игоревич,18,8386,142432,32958,383,2885,25.43389126039092,1.0572516976757025,7.9638933362778115,False,0,0,-1,1,0,1
Шестакова Дарья Андреевна,18,1912,142432,32958,383,2885,25.43389126039092,1.0572516976757025,7.9638933362778115,False,0,0,-1,-1,8,2
Янчук Елена Юрьевна,18,15246,142432,32958,383,2885,25.43389126039092,1.0572516976757025,7.9638933362778115,True,0,1,0,-1,4,2
Волков Кирилл Олегович,19,2955,145292,27660,362,2284,20.85868458001817,1.1944829406718145,7.536461426780176,False,0,0,-1,-1,5,2
Ильин Роман Анатольевич,19,2224,145292,27660,362,2284,20.85868458001817,1.1944829406718145,7.536461426780176,False,0,0,-1,-1,3,0
Назарова Ирина Александровна,19,11558,145292,27660,362,2284,20.85868458001817,1.1944829406718145,7.536461426780176,False,0,0,-1,1,0,1
Шереметьев Олег Михайлович,19,12172,145292,27660,362,2284,20.85868458001817,1.1944829406718145,7.536461426780176,True,0,1,0,-1,4,2
Букреев Виктор Васильевич,20,3664,165776,36081,635,2216,23.484702248817683,1.6310490085276894,5.691975752594267,False,1,0,-1,-1,5,2
Даниловцев Валерий Валерьевич,20,4137,165776,36081,635,2216,23.484702248817683,1.6310490085276894,5.691975752594267,False,1,0,-1,-1,8,2
Захаров Дмитрий Александрович,20,3112,165776,36081,635,2216,23.484702248817683,1.6310490085276894,5.691975752594267,False,1,0,-1,-1,3,0
Ступин Евгений Викторович,20,17496,165776,36081,635,2216,23.484702248817683,1.6310490085276894,5.691975752594267,True,1,1,0,-1,4,2
Шингаркин Максим Андреевич,20,8512,165776,36081,635,2216,23.484702248817683,1.6310490085276894,5.691975752594267,False,1,0,-1,-1,7,2
Бородина Екатерина Сергеевна,21,3173,151844,26730,313,3048,19.817049076683965,1.0401781263500711,10.129274533913796,False,0,0,-1,-1,8,2
Зюганов Леонид Андреевич,21,17233,151844,26730,313,3048,19.817049076683965,1.0401781263500711,10.129274533913796,True,0,1,0,-1,4,2
Шах Андрей Викторович,21,2767,151844,26730,313,3048,19.817049076683965,1.0401781263500711,10.129274533913796,False,0,0,-1,-1,5,2
Шевченко Вера Леонидовна,21,5362,151844,26730,313,3048,19.817049076683965,1.0401781263500711,10.129274533913796,False,0,0,-1,1,0,1
Бадмаев Владимир Владимирович,22,1809,151896,31501,330,2028,22.290909569705587,0.9746300835819132,5.989544877285212,False,0,0,-1,-1,3,0
Егоров Антон Олегович,22,2475,151896,31501,330,2028,22.290909569705587,0.9746300835819132,5.989544877285212,False,0,0,-1,-1,5,2
Монастырев Дмитрий Юрьевич,22,1849,151896,31501,330,2028,22.290909569705587,0.9746300835819132,5.989544877285212,False,0,0,-1,-1,8,2
Сараев Дмитрий Михайлович,22,11018,151896,31501,330,2028,22.290909569705587,0.9746300835819132,5.989544877285212,False,0,1,-1,-1,4,2
Святенко Инна Юрьевна,22,15190,151896,31501,330,2028,22.290909569705587,0.9746300835819132,5.989544877285212,True,0,0,1,1,0,1
Булатов Антон Эминович,23,2183,145703,26857,403,2616,20.50472536598423,1.3489088231356272,8.7561922613469,False,4,0,-1,-1,3,0
Гуличева Елена Геннадьевна,23,10782,145703,26857,403,2616,20.50472536598423,1.3489088231356272,8.7561922613469,False,4,1,-1,-1,4,2
Николаева Елена Леонидовна,23,12119,145703,26857,403,2616,20.50472536598423,1.3489088231356272,8.7561922613469,True,4,0,1,1,0,1
Померанцев Георгий Александрович,23,2694,145703,26857,403,2616,20.50472536598423,1.3489088231356272,8.7561922613469,False,4,0,-1,-1,5,2
